month,month_name,count
2018-09,September,17
2018-10,October,14
2018-11,November,1
2018-12,December,4
2019-01,January,7
2019-02,February,8
2019-03,March,3
2019-04,April,13
2019-05,May,20
2019-06,June,8
2019-07,July,8
2019-08,August,22
2019-09,September,25
2019-10,October,9
2019-11,November,6
2019-12,December,20
2020-01,January,32
2020-02,February,23
2020-03,March,21
2020-04,April,15
2020-05,May,23
2020-06,June,42
2020-07,July,57
2020-08,August,53
2020-09,September,34
2020-10,October,25
2020-11,November,31
2020-12,December,28
2021-01,January,35
2021-02,February,48
2021-03,March,23
2021-04,April,20
2021-05,May,12
2021-06,June,10
2021-07,July,10
2021-08,August,16
2021-09,September,25
2021-10,October,20
2021-11,November,34
2021-12,December,31
2022-01,January,46
2022-02,February,43
2022-03,March,29
2022-04,April,22
2022-05,May,27
2022-06,June,23
2022-07,July,27
2022-08,August,25
2022-09,September,22
2022-10,October,19
2022-11,November,23
2022-12,December,25
2023-01,January,37
2023-02,February,31
2023-03,March,26
2023-04,April,22
2023-05,May,19
2023-06,June,12
2023-07,July,5
2023-08,August,4
2023-09,September,2
2023-10,October,6
2023-11,November,9
2023-12,December,15
2024-01,January,45
2024-02,February,15
2024-03,March,5
2024-04,April,4
2024-05,May,12
2024-06,June,23
2024-07,July,41
2024-08,August,46
2024-09,September,51
2024-10,October,55
2024-11,November,47
2024-12,December,43
2025-01,January,53
2025-02,February,51
2025-03,March,48
2025-04,April,50
2025-05,May,51
2025-06,June,43
2025-07,July,3
